An,Bn
2.46808510638298,23.95
2.46808510638298,24.05
2.46808510638298,24.1
2.46808510638298,24.65
2.46808510638298,24.65
2.46808510638298,24.95
2.46808510638298,25.35
2.46808510638298,25.65
2.46808510638298,26.1
2.46808510638298,26.15
2.46808510638298,26.55
2.46808510638298,26.75
2.46808510638298,27.15
2.52676659528908,22.55
2.52676659528908,22.7
2.52676659528908,24
2.52676659528908,24.1
2.52676659528908,24.25
2.52676659528908,24.35
2.52676659528908,24.95
2.52676659528908,25.45
2.52676659528908,25.45
2.52676659528908,25.9
2.52676659528908,26.35
2.52676659528908,27.25
2.52676659528908,28.65
2.52676659528908,28.75
2.52676659528908,30.8
2.52676659528908,31.1
2.52676659528908,31.35
2.52676659528908,34.4
2.52676659528908,34.8
2.54477611940298,31.1
2.54477611940298,31.5
2.54477611940298,34.2
2.54477611940298,34.9
2.54477611940298,34.95
2.54477611940298,35.25
2.54477611940298,35.45
2.54477611940298,35.5
2.54477611940298,35.85
2.54477611940298,36.45
2.54477611940298,37.15
2.54477611940298,37.3
2.54477611940298,37.5
2.54477611940298,37.6
2.54477611940298,37.85
2.54477611940298,38
2.54477611940298,39.4
2.54477611940298,39.8
2.54477611940298,40.05
2.54545454545455,28.9
2.54545454545455,28.95
2.54545454545455,29.4
2.54545454545455,32.5
2.54545454545455,32.55
2.54545454545455,32.6
2.54545454545455,32.9
2.54545454545455,33.85
2.54545454545455,33.95
2.54545454545455,34.4
2.54545454545455,35.25
2.54545454545455,35.85
2.54545454545455,36.25
2.54545454545455,37.55
2.54545454545455,38.35
2.54545454545455,38.4
2.54545454545455,38.55
2.54545454545455,38.7
2.54545454545455,38.95
2.54545454545455,40.2
2.58727272727273,21.1
2.58727272727273,21.5
2.58727272727273,22.15
2.58727272727273,23.25
2.58727272727273,23.65
2.58727272727273,23.75
2.58727272727273,23.95
2.58727272727273,24.55
2.58727272727273,24.55
2.58727272727273,25.2
2.58727272727273,25.6
2.58727272727273,25.95
2.58727272727273,26.2
2.58727272727273,26.25
2.58727272727273,26.35
2.58727272727273,26.35
2.58727272727273,27.2
